,created_on,sentiment,playerid,player_name
235,2016-04-13 02:00:51.322,1,40000778,Russell Knox
236,2016-04-13 14:41:19.383,1,40001044,Kevin Na
237,2016-04-18 19:46:24.151,-1,40000991,Phil Mickelson
238,2016-04-18 19:49:57.749,1,40000632,Charley Hoffman
239,2016-04-18 20:01:03.917,1,40000777,Colt Knost
240,2016-04-19 01:37:23.258,1,40000991,Phil Mickelson
241,2016-04-19 01:58:52.121,1,40001405,Daniel Summerhays
242,2016-04-19 01:59:15.265,1,40000016,Billy Horschel
243,2016-04-19 01:59:32.975,1,40000527,Branden Grace
244,2016-04-19 01:59:50.559,1,40000014,Matt Kuchar
245,2016-04-19 02:00:15.260,1,40000322,Bryson DeChambeau
246,2016-04-19 02:00:34.460,1,40000693,Fredrik Jacobson
247,2016-04-19 02:01:08.054,1,40000011,Chris Kirk
248,2016-04-19 02:52:29.229,1,40000031,Thomas Aiken
249,2016-04-19 14:41:17.635,-1,40000009,Jimmy Walker
250,2016-04-19 14:41:33.549,-1,40000527,Branden Grace
251,2016-04-19 14:41:48.206,-1,40000012,Zach Johnson
252,2016-04-19 14:42:57.702,-1,40001343,Brandt Snedeker
253,2016-04-19 14:44:09.328,1,40000014,Matt Kuchar
254,2016-04-19 14:47:07.582,1,40000016,Billy Horschel
255,2016-04-19 14:49:08.768,-1,40000345,Luke Donald
256,2016-04-19 14:49:31.489,-1,40000785,Jason Kokrak
257,2016-04-19 14:52:29.275,1,40001369,Brendan Steele
258,2016-04-19 14:52:47.473,1,40000959,William McGirt
259,2016-04-19 14:53:00.158,1,40001405,Daniel Summerhays
260,2016-04-19 14:53:55.644,-1,40001390,Kevin Streelman
261,2016-04-19 14:57:47.676,1,40000192,Bronson Burgoon
262,2016-04-19 14:58:11.333,1,40001232,Patrick Rodgers
263,2016-04-19 14:58:38.893,1,40001136,Cameron Percy
264,2016-04-19 14:58:56.304,1,40001245,Ryan Ruffels
265,2016-04-19 15:09:52.054,1,40000002,Patrick Reed
266,2016-04-19 18:11:32.594,1,40000008,J.B. Holmes
267,2016-04-20 00:39:50.829,1,40000009,Jimmy Walker
268,2016-04-20 01:52:04.927,-1,40000008,J.B. Holmes
269,2016-04-20 01:52:22.706,1,40000071,Aaron Baddeley
270,2016-04-20 02:10:24.383,1,40000007,Brooks Koepka
271,2016-04-20 13:54:49.001,-1,40000322,Bryson DeChambeau
272,2016-04-20 13:56:28.126,1,40001211,Chez Reavie
273,2016-04-21 00:42:22.063,1,40000881,Andrew Loupe
274,2016-04-21 02:10:16.776,1,40000632,Charley Hoffman
275,2016-04-25 23:59:25.010,1,40000653,Charles Howell III
276,2016-04-25 23:59:30.589,1,40000003,Rickie Fowler
277,2016-04-25 23:59:45.297,1,40000011,Chris Kirk
278,2016-04-26 00:00:38.240,1,40000013,Justin Rose
279,2016-04-26 00:00:52.225,1,40000602,David Hearn
280,2016-04-26 00:01:21.320,1,40000978,George McNeill
281,2016-04-26 00:48:53.114,-1,40000115,Daniel Berger
282,2016-04-26 01:05:53.596,1,40000738,Smylie Kaufman
283,2016-04-26 01:12:58.540,1,40000869,Luke List
284,2016-04-26 01:13:08.912,1,40001215,Kyle Reifers
285,2016-04-26 01:23:27.593,1,40001460,Cameron Tringale
286,2016-04-26 02:06:06.410,1,40000633,Morgan Hoffmann
287,2016-04-26 02:18:19.916,1,40000665,Billy Hurley III
288,2016-04-26 02:18:30.888,1,40000244,K.J. Choi
289,2016-04-26 02:18:41.444,1,40000520,Jason Gore
290,2016-04-26 02:24:35.249,1,40000314,Jason Day
291,2016-04-26 14:56:30.823,-1,40000314,Jason Day
292,2016-04-26 14:57:01.241,1,40000013,Justin Rose
293,2016-04-26 14:57:14.025,1,40000738,Smylie Kaufman
294,2016-04-26 14:57:31.911,-1,40000003,Rickie Fowler
295,2016-04-26 14:57:59.561,1,40000016,Billy Horschel
296,2016-04-26 14:58:20.122,1,40000653,Charles Howell III
297,2016-04-26 15:04:55.485,1,40001594,Gary Woodland
298,2016-04-26 15:18:46.336,1,40000115,Daniel Berger
299,2016-04-26 15:44:38.550,1,40001392,Steve Stricker
300,2016-04-27 10:44:54.370,1,40000632,Charley Hoffman
301,2016-04-27 16:21:15.913,-1,40000011,Chris Kirk
302,2016-04-27 19:44:35.218,-1,40001460,Cameron Tringale
303,2016-04-27 19:45:14.498,-1,40000632,Charley Hoffman
304,2016-05-03 02:23:23.768,1,40000003,Rickie Fowler
305,2016-05-03 02:23:39.435,1,40000965,Rory McIlroy
306,2016-05-03 02:23:49.908,1,40000008,J.B. Holmes
307,2016-05-03 02:24:05.227,1,40001561,Will Wilcox
308,2016-05-03 02:24:47.335,1,40000885,Jamie Lovemark
309,2016-05-03 02:24:55.776,1,40000115,Daniel Berger
310,2016-05-03 02:25:02.224,1,40000772,Patton Kizzire
311,2016-05-03 02:25:17.967,1,40001490,Harold Varner
312,2016-05-03 02:25:28.661,1,40001313,Webb Simpson
313,2016-05-03 02:25:44.816,1,40001594,Gary Woodland
314,2016-05-03 02:25:54.970,1,40001373,Henrik Stenson
315,2016-05-03 02:26:25.322,1,40000991,Phil Mickelson
